Year,Month,Affiliate_ID,Ftt_Num,Approved_Num,Total_Fee,Approved_Fee,Criteria,Level,Organic,Status,Bank
2021,11,1,692,0,0,0,,,Organic,,
2021,11,52f4368889cfc,57,57,1945000,1945000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2021,11,5334dcc3d215c,159,159,5810000,5810000,VIPIIAffiliate,FTT > 100 Counts,,Paid,ANZ
2021,11,533ffb6139522,16,16,510000,510000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Unpaid,NAB
2021,11,534b66cb63ca8,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,11,536c689718cd2,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Pending,CBA
2021,11,53718280aa55c,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,53e4d75ce57aa,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,53e870e1e9907,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,11,5424f1b1888a2,6,6,180000,180000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,542a60ef961fb,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,542a610da6b9c,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,542a61ca09613,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,5430025bbe104,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,11,543ac92f17f15,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,543f57c673f1a,7,7,210000,210000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,54446ccf0da2f,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,11,548c3aced2427,37,37,1245000,1245000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2021,11,5497efe5c5a0a,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Rejected,ANZ
2021,11,5497f0186b588,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,11,54d18f3ba89ae,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,5558bf85703b0,6,6,180000,180000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,55828e847e269,95,94,3275000,3240000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Rejected,ANZ
2021,11,55962743b5ed3,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,55af2f08bc595,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,55c434d3577b9,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Pending,NAB
2021,11,565ecf8b4ef1c,10,10,300000,300000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Unpaid_No_Bank,CBA
2021,11,566fa58ac8b2a,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,568f8e5b5fd64,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,56a797e0d01da,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,11,5742884d315d1,49,49,1665000,1665000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,NAB
2021,11,578d202135f8c,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,11,57b0a69b213b0,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Pending,ANZ
2021,11,57bd83971f065,21,20,685000,650000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2021,11,57c002511a1b7,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Pending,NAB
