Date,PspName,CardType,Status,Amount,Retried_Amount,Count,Count_Retried,Group
1/01/2021,FsTechnologies,VISA,Approved,87201,87201,3,3,Highlow
1/01/2021,FsTechnologies,VISA,Declined,90000,0,4,0,Highlow
1/01/2021,PaymentZ,VISA,Approved,80000,0,8,0,Highlow
1/01/2021,PaymentZ,VISA,Declined,177201,0,7,0,Highlow
2/01/2021,FsTechnologies,VISA,Approved,188000,188000,4,4,Highlow
2/01/2021,FsTechnologies,VISA,Declined,185000,0,5,0,Highlow
2/01/2021,PaymentZ,JCB,Approved,640000,0,15,0,Highlow
2/01/2021,PaymentZ,JCB,Declined,165000,0,4,0,Highlow
2/01/2021,PaymentZ,VISA,Approved,1181960,0,11,0,Highlow
2/01/2021,PaymentZ,VISA,Declined,373000,0,9,0,Highlow
3/01/2021,FsTechnologies,VISA,Approved,495331,495331,12,12,Highlow
3/01/2021,FsTechnologies,VISA,Declined,135000,0,7,0,Highlow
3/01/2021,PaymentZ,VISA,Approved,846026,0,17,0,Highlow
3/01/2021,PaymentZ,VISA,Declined,630331,0,19,0,Highlow
4/01/2021,FsTechnologies,VISA,Approved,1421374,1391374,61,59,Highlow
4/01/2021,FsTechnologies,VISA,Declined,3832840,0,140,0,Highlow
4/01/2021,FsTechnologies,VISA,DeclinedDueToInvalidCreditCard,160000,0,7,0,Highlow
4/01/2021,PaymentZ,JCB,Approved,10000,0,1,0,Highlow
4/01/2021,PaymentZ,JCB,Declined,60000,0,3,0,Highlow
4/01/2021,PaymentZ,VISA,Approved,9631532,0,469,0,Highlow
4/01/2021,PaymentZ,VISA,Declined,5828214,0,232,0,Highlow
4/01/2021,PaymentZ,VISA,Init,5000,0,1,0,Highlow
5/01/2021,FsTechnologies,VISA,Approved,1711388,1700388,74,73,Highlow
5/01/2021,FsTechnologies,VISA,Declined,6250038,0,166,0,Highlow
5/01/2021,FsTechnologies,VISA,DeclinedDueToInvalidCreditCard,66000,0,6,0,Highlow
5/01/2021,PaymentZ,JCB,Approved,20000,0,1,0,Highlow
5/01/2021,PaymentZ,VISA,Approved,7396546,0,374,0,Highlow
5/01/2021,PaymentZ,VISA,Declined,8171426,0,253,0,Highlow
5/01/2021,PaymentZ,VISA,Init,5000,0,1,0,Highlow
6/01/2021,FsTechnologies,VISA,Approved,7736030,206000,393,18,Highlow
6/01/2021,FsTechnologies,VISA,Declined,5311000,0,159,0,Highlow
6/01/2021,FsTechnologies,VISA,DeclinedDueToInvalidCreditCard,216051,0,9,0,Highlow
6/01/2021,PaymentZ,JCB,Approved,5004,0,1,0,Highlow
6/01/2021,PaymentZ,VISA,Approved,1604720,370000,46,6,Highlow
6/01/2021,PaymentZ,VISA,Declined,4997000,0,166,0,Highlow
7/01/2021,FsTechnologies,VISA,Approved,9833227,0,371,0,Highlow
7/01/2021,FsTechnologies,VISA,Declined,5077008,0,119,0,Highlow
7/01/2021,FsTechnologies,VISA,DeclinedDueToInvalidCreditCard,102000,0,5,0,Highlow
7/01/2021,PaymentZ,VISA,Approved,250000,250000,4,4,Highlow
7/01/2021,PaymentZ,VISA,Declined,4593008,0,108,0,Highlow
8/01/2021,FsTechnologies,VISA,Approved,9338247,0,447,0,Highlow
8/01/2021,FsTechnologies,VISA,Declined,3745440,0,123,0,Highlow
8/01/2021,FsTechnologies,VISA,DeclinedDueToInvalidCreditCard,275000,0,5,0,Highlow
8/01/2021,PaymentZ,JCB,Approved,210000,0,2,0,Highlow
