PSP Name,Processing Rate (%),Fixed Trx Fee ($),Chargeback Fee ($),Refund Fee ($),FX Surcharge (%),Monthly Fee ($),Settlement Fee,Reserve Type,Reserve Amount / Rate,Release Terms (Post-Termination)
Acquiringcom,1.35%,$0.25,$15.00,$0.50,1.00%,$25,Free,Rolling,5% (6 months),180 days
Alweave,1.90%,$0.10,$22.00,$0.50,1.70%,$0,Free,Fixed,"$50,000",90 days
CheckoutCom,1.40%,$0.20,$18.00,$0.50,1.20%,$0,Free,None,N/A,N/A
Eximbay,2.20%,$0.00,$30.00,$1.00,2.50%,$0,0.50%,Rolling,10% (3 months),180 days
FsTechnologies,1.20%,$0.20,$15.00,$0.50,1.00%,$0,Free,None,N/A,N/A
Gmo,2.00%,$0.10,$20.00,$0.40,1.80%,$30,Free,Rolling,5% (3 months),90 days
Intraclear,1.25%,$0.30,$25.00,$0.50,1.50%,$0,0.20%,Fixed,"$100,000",180 days
LateralPay,1.60%,$0.15,$20.00,$0.00,1.20%,$0,Free,Rolling,8% (6 months),180 days
PaymentZ,1.50%,$0.15,$20.00,$0.00,1.50%,$50,0.10%,Rolling,10% (6 months),180 days
Paystra,1.45%,$0.20,$15.00,$0.50,1.00%,$0,Free,None,N/A,N/A
Powercash21,1.70%,$0.15,$18.00,$0.20,1.50%,$40,Free,Rolling,5% (6 months),180 days
SafeCharge,1.10%,$0.25,$15.00,$0.30,0.50%,$100,Free,Fixed,"$200,000",180 days
SafeCharge2,1.05%,$0.20,$15.00,$0.30,0.50%,$150,Free,Fixed,"$150,000",180 days
SBM,2.10%,$0.10,$25.00,$0.50,2.00%,$0,0.30%,Rolling,10% (6 months),180 days
SimpleTransact,1.15%,$0.25,$10.00,$0.25,0.80%,$99,Free,None,N/A,N/A
Worldpay,1.80%,$0.10,$25.00,$0.20,2.00%,$0,$10 per payout,Rolling,5% (6 months),180 days
